Nx1000,   AVX,     GPU
  4096, 1.490, 225.957
  4608, 1.575, 242.546
  5120, 1.719, 275.339
  5632, 1.824, 301.247
  6144, 2.307, 328.016
  6656, 2.372, 349.195
  7168, 2.630, 373.702
  7680, 2.559, 405.719
  8192, 2.822, 432.646
  8704, 2.799, 457.217
  9216, 3.110, 479.509
  9728, 3.514, 511.876
 10240, 3.345, 544.044
 10752, 3.596, 567.611
 11264, 3.960, 593.422
 11776, 3.920, 613.314
 12288, 4.054, 647.707
 12800, 4.437, 677.512
 13312, 4.607, 702.780
 13824, 4.619, 726.984
 14336, 4.793, 752.263
 14848, 4.904, 780.708
 15360, 5.155, 809.429
 15872, 5.321, 830.312
