Nx1000,   AVX,     GPU
  4096, 1.422,  26.195
  4608, 1.572,  31.217
  5120, 2.356,  28.198
  5632, 2.130,  29.587
  6144, 2.130,  30.625
  6656, 2.335,  31.739
  7168, 3.491,  30.945
  7680, 2.981,  33.871
  8192, 2.791,  35.453
  8704, 3.931,  37.442
  9216, 4.208,  36.515
  9728, 3.323,  36.391
 10240, 4.822,  38.863
 10752, 3.676,  38.852
 11264, 3.882,  42.340
 11776, 4.805,  40.454
 12288, 4.208,  41.288
 12800, 4.331,  42.983
 13312, 4.622,  45.200
 13824, 5.251,  49.748
 14336, 5.048,  45.200
 14848, 5.049,  46.514
 15360, 5.386,  44.621
 15872, 5.698,  47.653
